rq,repository,metric_column,value,lower_bound,upper_bound,reason
RQ02,freeCodeCamp/freeCodeCamp,merged_pull_requests,29098.0,-4644.875,8208.125,above_upper_bound
RQ02,openclaw/openclaw,merged_pull_requests,25264.0,-4644.875,8208.125,above_upper_bound
RQ02,react/react,merged_pull_requests,13034.0,-4644.875,8208.125,above_upper_bound
RQ02,NousResearch/hermes-agent,merged_pull_requests,10822.0,-4644.875,8208.125,above_upper_bound
RQ02,n8n-io/n8n,merged_pull_requests,19986.0,-4644.875,8208.125,above_upper_bound
RQ02,tensorflow/tensorflow,merged_pull_requests,48928.0,-4644.875,8208.125,above_upper_bound
RQ02,microsoft/vscode,merged_pull_requests,51980.0,-4644.875,8208.125,above_upper_bound
RQ02,flutter/flutter,merged_pull_requests,49580.0,-4644.875,8208.125,above_upper_bound
RQ02,twbs/bootstrap,merged_pull_requests,9481.0,-4644.875,8208.125,above_upper_bound
RQ02,huggingface/transformers,merged_pull_requests,20168.0,-4644.875,8208.125,above_upper_bound
RQ02,langgenius/dify,merged_pull_requests,13342.0,-4644.875,8208.125,above_upper_bound
RQ02,langchain-ai/langchain,merged_pull_requests,17239.0,-4644.875,8208.125,above_upper_bound
RQ02,vercel/next.js,merged_pull_requests,28189.0,-4644.875,8208.125,above_upper_bound
RQ02,kubernetes/kubernetes,merged_pull_requests,65646.0,-4644.875,8208.125,above_upper_bound
RQ02,ggml-org/llama.cpp,merged_pull_requests,9694.0,-4644.875,8208.125,above_upper_bound
RQ02,electron/electron,merged_pull_requests,26512.0,-4644.875,8208.125,above_upper_bound
RQ02,nodejs/node,merged_pull_requests,13180.0,-4644.875,8208.125,above_upper_bound
RQ02,godotengine/godot,merged_pull_requests,43337.0,-4644.875,8208.125,above_upper_bound
RQ02,rust-lang/rust,merged_pull_requests,73490.0,-4644.875,8208.125,above_upper_bound
RQ02,mrdoob/three.js,merged_pull_requests,15978.0,-4644.875,8208.125,above_upper_bound
RQ02,immich-app/immich,merged_pull_requests,9998.0,-4644.875,8208.125,above_upper_bound
RQ02,microsoft/TypeScript,merged_pull_requests,14893.0,-4644.875,8208.125,above_upper_bound
RQ02,denoland/deno,merged_pull_requests,16442.0,-4644.875,8208.125,above_upper_bound
RQ02,supabase/supabase,merged_pull_requests,18627.0,-4644.875,8208.125,above_upper_bound
RQ02,openai/codex,merged_pull_requests,9453.0,-4644.875,8208.125,above_upper_bound
RQ02,neovim/neovim,merged_pull_requests,19626.0,-4644.875,8208.125,above_upper_bound
RQ02,ant-design/ant-design,merged_pull_requests,18200.0,-4644.875,8208.125,above_upper_bound
RQ02,mui/material-ui,merged_pull_requests,22152.0,-4644.875,8208.125,above_upper_bound
RQ02,oven-sh/bun,merged_pull_requests,9647.0,-4644.875,8208.125,above_upper_bound
RQ02,microsoft/playwright,merged_pull_requests,17703.0,-4644.875,8208.125,above_upper_bound
RQ02,storybookjs/storybook,merged_pull_requests,13095.0,-4644.875,8208.125,above_upper_bound
RQ02,opencv/opencv,merged_pull_requests,14045.0,-4644.875,8208.125,above_upper_bound
RQ02,home-assistant/core,merged_pull_requests,89990.0,-4644.875,8208.125,above_upper_bound
RQ02,bitcoin/bitcoin,merged_pull_requests,16802.0,-4644.875,8208.125,above_upper_bound
RQ02,vllm-project/vllm,merged_pull_requests,19952.0,-4644.875,8208.125,above_upper_bound
RQ02,astral-sh/uv,merged_pull_requests,10089.0,-4644.875,8208.125,above_upper_bound
RQ02,zed-industries/zed,merged_pull_requests,26361.0,-4644.875,8208.125,above_upper_bound
RQ02,infiniflow/ragflow,merged_pull_requests,8362.0,-4644.875,8208.125,above_upper_bound
RQ02,django/django,merged_pull_requests,10681.0,-4644.875,8208.125,above_upper_bound
RQ02,netdata/netdata,merged_pull_requests,12887.0,-4644.875,8208.125,above_upper_bound
RQ02,elastic/elasticsearch,merged_pull_requests,95318.0,-4644.875,8208.125,above_upper_bound
RQ02,nestjs/nest,merged_pull_requests,8665.0,-4644.875,8208.125,above_upper_bound
RQ02,grafana/grafana,merged_pull_requests,69274.0,-4644.875,8208.125,above_upper_bound
RQ02,python/cpython,merged_pull_requests,62575.0,-4644.875,8208.125,above_upper_bound
RQ02,apache/superset,merged_pull_requests,19639.0,-4644.875,8208.125,above_upper_bound
RQ02,strapi/strapi,merged_pull_requests,10368.0,-4644.875,8208.125,above_upper_bound
RQ02,moby/moby,merged_pull_requests,23030.0,-4644.875,8208.125,above_upper_bound
RQ02,protocolbuffers/protobuf,merged_pull_requests,9711.0,-4644.875,8208.125,above_upper_bound
RQ02,toeverything/AFFiNE,merged_pull_requests,9350.0,-4644.875,8208.125,above_upper_bound
RQ02,ansible/ansible,merged_pull_requests,40060.0,-4644.875,8208.125,above_upper_bound
RQ02,swiftlang/swift,merged_pull_requests,60645.0,-4644.875,8208.125,above_upper_bound
RQ02,scikit-learn/scikit-learn,merged_pull_requests,14701.0,-4644.875,8208.125,above_upper_bound
RQ02,prometheus/prometheus,merged_pull_requests,8818.0,-4644.875,8208.125,above_upper_bound
RQ02,commaai/openpilot,merged_pull_requests,13282.0,-4644.875,8208.125,above_upper_bound
RQ02,tldr-pages/tldr,merged_pull_requests,19480.0,-4644.875,8208.125,above_upper_bound
RQ02,withastro/astro,merged_pull_requests,9208.0,-4644.875,8208.125,above_upper_bound
RQ02,minio/minio,merged_pull_requests,9882.0,-4644.875,8208.125,above_upper_bound
RQ02,nuxt/nuxt,merged_pull_requests,8296.0,-4644.875,8208.125,above_upper_bound
RQ02,rails/rails,merged_pull_requests,26836.0,-4644.875,8208.125,above_upper_bound
RQ02,go-gitea/gitea,merged_pull_requests,19703.0,-4644.875,8208.125,above_upper_bound
RQ02,BerriAI/litellm,merged_pull_requests,14305.0,-4644.875,8208.125,above_upper_bound
RQ02,gatsbyjs/gatsby,merged_pull_requests,18303.0,-4644.875,8208.125,above_upper_bound
RQ02,firstcontributions/first-contributions,merged_pull_requests,103110.0,-4644.875,8208.125,above_upper_bound
RQ02,twentyhq/twenty,merged_pull_requests,13956.0,-4644.875,8208.125,above_upper_bound
RQ02,PowerShell/PowerShell,merged_pull_requests,8460.0,-4644.875,8208.125,above_upper_bound
RQ02,TryGhost/Ghost,merged_pull_requests,18313.0,-4644.875,8208.125,above_upper_bound
RQ02,mozilla/pdf.js,merged_pull_requests,9210.0,-4644.875,8208.125,above_upper_bound
RQ02,prettier/prettier,merged_pull_requests,10218.0,-4644.875,8208.125,above_upper_bound
