rq,metric,value,unit
RQ01,total,1000.0,records
RQ01,valid,1000.0,records
RQ01,missing,0.0,records
RQ01,q1,1280.25,days
RQ01,q3,4142.5,days
RQ01,iqr,2862.25,days
RQ01,lower_bound,-3013.125,days
RQ01,upper_bound,8435.875,days
RQ01,outlier_count,0.0,records
RQ01,outlier_percentage,0.0,percent
RQ01,original_count,1000.0,records
RQ01,original_mean,2793.921,days
RQ01,original_median,2821.0,days
RQ01,original_standard_deviation,1652.9539053985661,days
RQ01,original_minimum,2.0,days
RQ01,original_maximum,6701.0,days
RQ01,filtered_count,1000.0,records
RQ01,filtered_mean,2793.921,days
RQ01,filtered_median,2821.0,days
RQ01,filtered_standard_deviation,1652.9539053985661,days
RQ01,filtered_minimum,2.0,days
RQ01,filtered_maximum,6701.0,days
RQ01,mean_absolute_change,0.0,days
RQ01,mean_percent_change,0.0,percent
RQ01,median_absolute_change,0.0,days
RQ01,median_percent_change,0.0,percent
RQ02,total,1000.0,records
RQ02,valid,1000.0,records
RQ02,missing,0.0,records
RQ02,q1,175.0,merged_prs
RQ02,q3,3388.25,merged_prs
RQ02,iqr,3213.25,merged_prs
RQ02,lower_bound,-4644.875,merged_prs
RQ02,upper_bound,8208.125,merged_prs
RQ02,outlier_count,123.0,records
RQ02,outlier_percentage,12.3,percent
RQ02,original_count,1000.0,records
RQ02,original_mean,4210.608,merged_prs
RQ02,original_median,765.5,merged_prs
RQ02,original_standard_deviation,10637.123159268273,merged_prs
RQ02,original_minimum,0.0,merged_prs
RQ02,original_maximum,103110.0,merged_prs
RQ02,filtered_count,877.0,records
RQ02,filtered_mean,1371.122006841505,merged_prs
RQ02,filtered_median,582.0,merged_prs
RQ02,filtered_standard_deviation,1816.3481790945473,merged_prs
RQ02,filtered_minimum,0.0,merged_prs
RQ02,filtered_maximum,7989.0,merged_prs
RQ02,mean_absolute_change,2839.485993158495,merged_prs
RQ02,mean_percent_change,-67.4364840697233,percent
RQ02,median_absolute_change,183.5,merged_prs
RQ02,median_percent_change,-23.971260613977794,percent
