rq,statistic,value,unit
RQ01,total,1000.0,records
RQ01,valid,1000.0,records
RQ01,missing,0.0,records
RQ01,minimum,2.0,days
RQ01,maximum,6701.0,days
RQ01,mean,2793.921,days
RQ01,median,2821.0,days
RQ01,standard_deviation,1652.9539053985661,days
RQ01,q1,1280.25,days
RQ01,q3,4142.5,days
RQ01,iqr,2862.25,days
RQ01,p10,465.20000000000005,days
RQ01,p90,4965.2,days
RQ01,skewness,0.06255179932069636,dimensionless
RQ01,median_years,7.723477070499658,years
RQ02,total,1000.0,records
RQ02,valid,1000.0,records
RQ02,missing,0.0,records
RQ02,minimum,0.0,merged_prs
RQ02,maximum,103110.0,merged_prs
RQ02,mean,4210.608,merged_prs
RQ02,median,765.5,merged_prs
RQ02,standard_deviation,10637.123159268273,merged_prs
RQ02,q1,175.0,merged_prs
RQ02,q3,3388.25,merged_prs
RQ02,iqr,3213.25,merged_prs
RQ02,p10,31.900000000000006,merged_prs
RQ02,p90,9695.7,merged_prs
RQ02,skewness,5.358875888253502,dimensionless
RQ02,zeros,20.0,records
