language,n,median_merged_pull_requests,median_release_count,median_days_since_last_update,in_tiobe_top10
Python,229,560.0,20.0,3.0,True
TypeScript,174,1993.5,134.0,2.0,False
JavaScript,110,630.5,39.0,8.0,True
Go,76,1690.0,139.0,2.0,False
Rust,57,2491.0,90.0,2.0,True
Java,41,939.0,54.0,2.0,True
C++,40,1121.0,50.5,1.0,True
Jupyter Notebook,24,78.0,0.0,23.0,False
C,21,294.0,43.0,2.0,True
Shell,20,389.5,9.5,11.5,False
Ruby,13,6234.0,28.0,1.0,False
HTML,11,232.0,0.0,28.0,False
Swift,10,702.0,38.5,3.5,False
Kotlin,9,258.0,75.0,4.0,False
C#,8,3108.0,125.5,1.0,True
CSS,8,185.5,2.0,352.0,False
Vue,6,402.0,40.5,277.5,False
Dart,6,592.0,35.0,2.0,False
Markdown,5,244.0,0.0,5.0,False
PHP,4,10602.0,573.0,1.0,False
MDX,4,380.0,1.0,3.0,False
Clojure,4,5142.5,118.5,2.5,False
Zig,3,4446.0,19.0,1.0,False
Vim Script,3,440.0,8.0,1.0,False
Makefile,2,3010.5,169.5,56.5,False
Astro,2,1258.5,69.0,4.0,False
TeX,2,19.0,3.5,2066.0,False
Objective-C,2,646.0,20.0,654.0,False
Haskell,2,1073.0,94.0,7.0,False
PowerShell,2,790.5,41.0,1.0,False
Dockerfile,2,383.5,0.5,400.5,False
Scala,2,5.0,0.0,171.5,False
V,1,13775.0,304.0,0.0,False
Svelte,1,252.0,0.0,132.0,False
Assembly,1,0.0,0.0,32.0,False
Roff,1,1.0,0.0,302.0,False
Nunjucks,1,485.0,0.0,61.0,False
LLVM,1,96606.0,159.0,0.0,False
Julia,1,27753.0,202.0,1.0,False
Elixir,1,898.0,12.0,62.0,False
Blade,1,1708.0,226.0,4.0,False
Batchfile,1,7.0,31.0,43.0,False
Lua,1,6532.0,147.0,12.0,False
