name_with_owner,stargazer_count,created_at,repository_age_days,merged_pull_requests,release_count,pushed_at,days_since_last_update,primary_language,total_issues,closed_issues,closed_issues_ratio
codecrafters-io/build-your-own-x,540051,2018-05-09T12:03:18Z,3020,157,0,2026-07-14T19:25:58Z,33,Markdown,946,677,0.7156448202959831
sindresorhus/awesome,496214,2014-07-11T13:42:37Z,4418,700,0,2026-06-30T18:21:16Z,47,Não informado,368,352,0.9565217391304348
public-apis/public-apis,460427,2016-03-20T23:49:42Z,3800,2127,0,2026-08-13T21:07:34Z,3,Python,924,911,0.9859307359307359
freeCodeCamp/freeCodeCamp,454081,2014-12-24T17:49:19Z,4252,29098,0,2026-08-16T02:34:07Z,0,TypeScript,22061,21892,0.9923394225103123
EbookFoundation/free-programming-books,394494,2013-10-11T06:50:37Z,4691,7417,0,2026-08-11T12:11:06Z,5,Python,1292,1254,0.9705882352941176
openclaw/openclaw,386425,2025-11-24T10:16:47Z,264,25264,234,2026-08-16T05:25:44Z,0,TypeScript,47174,43781,0.9280747869589181
nilbuild/developer-roadmap,364538,2017-03-15T13:45:52Z,3440,4396,1,2026-08-14T17:26:59Z,2,TypeScript,3184,3184,1.0
donnemartin/system-design-primer,364056,2017-02-26T16:15:28Z,3457,210,0,2026-03-20T01:52:19Z,149,Python,400,127,0.3175
jwasham/coding-interview-university,358836,2016-06-06T02:34:12Z,3723,415,0,2025-08-28T14:42:47Z,353,Não informado,536,455,0.8488805970149254
vinta/awesome-python,314196,2014-06-27T21:00:06Z,4432,738,0,2026-08-05T06:11:04Z,11,Python,0,0,
awesome-selfhosted/awesome-selfhosted,312951,2015-06-01T02:33:17Z,4094,0,1,2026-08-12T18:50:03Z,4,Não informado,0,0,
practical-tutorials/project-based-learning,279369,2017-04-12T05:07:46Z,3413,194,0,2026-08-10T07:04:22Z,6,Python,239,88,0.3682008368200837
996icu/996.ICU,276642,2019-03-26T07:31:14Z,2699,1071,0,2025-08-22T06:01:29Z,359,Não informado,0,0,
obra/superpowers,272549,2025-10-09T19:45:18Z,310,167,12,2026-08-13T00:36:31Z,3,Shell,849,695,0.8186101295641932
react/react,247270,2013-05-24T16:15:54Z,4831,13034,132,2026-08-14T17:33:13Z,2,JavaScript,14613,13799,0.94429617463902
torvalds/linux,242965,2011-09-04T22:48:12Z,5459,0,0,2026-08-15T16:00:10Z,1,C,0,0,
affaan-m/ECC,240326,2026-01-18T00:51:51Z,210,995,15,2026-08-16T02:12:46Z,0,JavaScript,708,667,0.942090395480226
trimstray/the-book-of-secret-knowledge,238596,2018-06-23T10:43:14Z,2975,122,0,2024-11-19T14:00:38Z,635,Não informado,0,0,
NousResearch/hermes-agent,231162,2025-07-22T22:22:28Z,389,10822,25,2026-08-16T05:22:41Z,0,Python,21846,10989,0.5030211480362538
TheAlgorithms/Python,223769,2016-07-16T09:44:01Z,3682,3088,0,2026-08-03T18:44:56Z,13,Python,1749,1606,0.9182389937106918
mattpocock/skills,218546,2026-02-03T11:15:53Z,193,89,7,2026-08-15T21:24:36Z,1,Shell,649,303,0.46687211093990755
vuejs/vue,210226,2013-07-29T03:24:51Z,4766,1136,249,2024-10-10T07:24:15Z,675,TypeScript,10035,9670,0.9636273044344793
ossu/computer-science,208040,2014-05-04T00:18:39Z,4487,315,0,2026-07-14T05:38:25Z,33,HTML,675,658,0.9748148148148148
multica-ai/andrej-karpathy-skills,202821,2026-01-27T03:53:13Z,201,12,0,2026-04-20T10:05:04Z,118,Não informado,0,0,
n8n-io/n8n,200804,2019-06-22T09:24:21Z,2611,19986,762,2026-08-16T03:08:18Z,0,TypeScript,10007,9668,0.9661237134006195
anomalyco/opencode,197860,2025-04-30T20:08:00Z,472,7219,860,2026-08-16T05:17:39Z,0,TypeScript,23771,19860,0.8354717933616591
tensorflow/tensorflow,197046,2015-11-07T01:19:20Z,3935,48928,222,2026-08-16T03:31:26Z,0,C++,41685,40917,0.9815761065131342
trekhleb/javascript-algorithms,196468,2018-03-24T07:47:04Z,3066,309,0,2026-07-26T02:43:08Z,21,JavaScript,373,238,0.6380697050938338
ultraworkers/claw-code,195054,2026-03-31T08:58:08Z,137,141,0,2026-08-06T11:18:35Z,10,Rust,2211,2195,0.9927634554500226
DigitalPlatDev/FreeDomain,193399,2024-05-30T13:23:00Z,807,0,0,2026-08-12T10:36:46Z,4,Markdown,0,0,
ohmyzsh/ohmyzsh,189220,2009-08-28T18:15:37Z,6196,3650,0,2026-08-11T11:03:43Z,5,Shell,5078,4926,0.9700669554942891
microsoft/vscode,188743,2015-09-03T20:23:38Z,3999,51980,233,2026-08-16T04:26:49Z,0,TypeScript,250861,233406,0.9304196347778252
massgravel/Microsoft-Activation-Scripts,187131,2020-01-12T23:03:34Z,2407,7,31,2026-07-04T16:54:38Z,43,Batchfile,1071,1065,0.9943977591036415
Significant-Gravitas/AutoGPT,186629,2023-03-16T09:21:07Z,1248,4759,117,2026-08-16T05:05:30Z,0,Python,3941,3644,0.9246384166455215
CyC2018/CS-Notes,185296,2018-02-13T14:56:24Z,3105,374,0,2024-08-21T09:40:10Z,725,Não informado,579,449,0.7754749568221071
jackfrued/Python-100-Days,185214,2018-03-01T16:05:52Z,3089,13,0,2026-07-29T15:18:29Z,18,Jupyter Notebook,729,193,0.26474622770919065
yt-dlp/yt-dlp,184688,2020-10-26T04:22:55Z,2120,3395,135,2026-08-16T01:54:39Z,0,Python,11907,9928,0.8337952464936592
getify/You-Dont-Know-JS,184669,2013-11-16T02:37:24Z,4656,370,0,2026-02-15T04:36:44Z,182,Não informado,947,947,1.0
avelino/awesome-go,181171,2014-07-06T13:42:15Z,4423,3867,0,2026-08-15T17:55:36Z,1,Go,758,736,0.9709762532981531
ollama/ollama,178623,2023-06-26T19:39:32Z,1146,3524,245,2026-08-15T18:57:47Z,1,Go,10979,8582,0.781674105109755
flutter/flutter,178406,2015-03-06T22:54:58Z,4180,49580,7,2026-08-16T02:55:48Z,0,Dart,115161,102597,0.8909005652955427
github/gitignore,175304,2010-11-08T20:17:14Z,5759,1779,0,2026-07-23T16:06:45Z,24,Não informado,0,0,
twbs/bootstrap,174595,2011-07-29T21:19:00Z,5496,9481,94,2026-08-13T03:36:08Z,3,MDX,22941,22838,0.9955102218735016
microsoft/markitdown,173955,2024-11-13T19:56:40Z,640,183,20,2026-07-29T18:18:09Z,18,Python,566,181,0.3197879858657244
521xueweihan/HelloGitHub,171076,2016-05-04T06:24:11Z,3755,17,68,2026-08-02T07:58:25Z,14,Python,3308,2708,0.8186215235792019
anthropics/skills,169587,2025-09-22T15:53:31Z,327,47,0,2026-08-13T18:09:56Z,3,Python,363,49,0.1349862258953168
firecrawl/firecrawl,167867,2024-04-15T21:02:29Z,852,1926,35,2026-08-16T00:12:25Z,0,TypeScript,949,885,0.9325605900948367
f/prompts.chat,167239,2022-12-05T13:54:13Z,1349,236,0,2026-08-16T03:22:07Z,0,HTML,172,152,0.8837209302325582
AUTOMATIC1111/stable-diffusion-webui,164505,2022-08-22T14:05:26Z,1454,1875,27,2026-03-02T07:00:53Z,167,Python,7913,5491,0.693921395172501
huggingface/transformers,164126,2018-10-29T13:56:00Z,2847,20168,268,2026-08-15T22:28:12Z,1,Python,19311,18426,0.954171197762933
jlevy/the-art-of-command-line,162129,2015-05-20T15:11:03Z,4105,317,0,2024-06-25T18:13:44Z,782,Não informado,264,138,0.5227272727272727
Snailclimb/JavaGuide,157781,2018-05-07T13:27:00Z,3022,1268,0,2026-08-08T06:58:19Z,8,JavaScript,1156,1098,0.9498269896193772
langflow-ai/langflow,153285,2023-02-08T22:28:03Z,1284,7273,303,2026-08-16T00:19:04Z,0,Python,3418,3206,0.9379754242246928
langgenius/dify,152565,2023-04-12T07:40:24Z,1221,13342,168,2026-08-16T03:58:44Z,0,TypeScript,18628,18343,0.9847004509340778
open-webui/open-webui,148888,2023-10-06T22:08:27Z,1044,4027,167,2026-08-15T07:10:16Z,1,Python,9358,9158,0.9786279119469973
airbnb/javascript,148144,2012-11-01T23:13:50Z,5035,822,0,2026-04-16T19:24:09Z,122,JavaScript,1416,1316,0.9293785310734464
Genymobile/scrcpy,147712,2017-11-21T18:00:27Z,3189,153,52,2026-08-14T15:22:32Z,2,C,6146,3356,0.5460462089163683
msitarzewski/agency-agents,145644,2025-10-13T12:12:29Z,306,222,0,2026-08-06T13:29:47Z,10,Shell,144,87,0.6041666666666666
langchain-ai/langchain,144306,2022-10-17T02:58:36Z,1399,17239,1000,2026-08-15T08:07:42Z,1,Python,9969,9643,0.9672986257397933
x1xhlol/system-prompts-and-models-of-ai-tools,142858,2025-03-05T16:38:29Z,528,52,0,2026-08-11T13:01:09Z,5,Não informado,212,121,0.5707547169811321
