name_with_owner,stargazer_count,created_at,repository_age_days,merged_pull_requests,release_count,pushed_at,days_since_last_update,primary_language,total_issues,closed_issues,closed_issues_ratio
codecrafters-io/build-your-own-x,540051,2018-05-09T12:03:18Z,3020,157,0,2026-07-14T19:25:58Z,33,Markdown,946,677,0.7156448202959831
sindresorhus/awesome,496214,2014-07-11T13:42:37Z,4418,700,0,2026-06-30T18:21:16Z,47,Não informado,368,352,0.9565217391304348
public-apis/public-apis,460427,2016-03-20T23:49:42Z,3800,2127,0,2026-08-13T21:07:34Z,3,Python,924,911,0.9859307359307359
freeCodeCamp/freeCodeCamp,454081,2014-12-24T17:49:19Z,4252,29098,0,2026-08-16T02:34:07Z,0,TypeScript,22061,21892,0.9923394225103123
EbookFoundation/free-programming-books,394494,2013-10-11T06:50:37Z,4691,7417,0,2026-08-11T12:11:06Z,5,Python,1292,1254,0.9705882352941176
openclaw/openclaw,386425,2025-11-24T10:16:47Z,264,25264,234,2026-08-16T05:25:44Z,0,TypeScript,47174,43781,0.9280747869589181
nilbuild/developer-roadmap,364538,2017-03-15T13:45:52Z,3440,4396,1,2026-08-14T17:26:59Z,2,TypeScript,3184,3184,1.0
donnemartin/system-design-primer,364056,2017-02-26T16:15:28Z,3457,210,0,2026-03-20T01:52:19Z,149,Python,400,127,0.3175
jwasham/coding-interview-university,358836,2016-06-06T02:34:12Z,3723,415,0,2025-08-28T14:42:47Z,353,Não informado,536,455,0.8488805970149254
vinta/awesome-python,314196,2014-06-27T21:00:06Z,4432,738,0,2026-08-05T06:11:04Z,11,Python,0,0,
