simulation_id,source_kind,issue,participant_label,kata,planned_treatment,cycle,simulated_elapsed_seconds,simulated_passed,simulated_failed,total_tests,simulated_success_rate
SIM-S02-I21,observed_simulated,#21,SIMULACAO_ISLAYDER,kata1_normalizador_etiquetas,IA,1,120,4,6,10,40.0
SIM-S02-I21,observed_simulated,#21,SIMULACAO_ISLAYDER,kata1_normalizador_etiquetas,IA,2,250,8,2,10,80.0
SIM-S02-I21,observed_simulated,#21,SIMULACAO_ISLAYDER,kata1_normalizador_etiquetas,IA,3,420,10,0,10,100.0
SIM-S02-I24,observed_simulated,#24,SIMULACAO_ISLAYDER,kata2_balanceamento_turnos,Manual,1,300,3,6,9,33.33
SIM-S02-I24,observed_simulated,#24,SIMULACAO_ISLAYDER,kata2_balanceamento_turnos,Manual,2,600,7,2,9,77.78
SIM-S02-I24,observed_simulated,#24,SIMULACAO_ISLAYDER,kata2_balanceamento_turnos,Manual,3,900,9,0,9,100.0
SIM-S02-I25,observed_simulated,#25,SIMULACAO_ISLAYDER,kata3_compactador_sensor,IA,1,180,4,5,9,44.44
SIM-S02-I25,observed_simulated,#25,SIMULACAO_ISLAYDER,kata3_compactador_sensor,IA,2,360,8,1,9,88.89
SIM-S02-I25,observed_simulated,#25,SIMULACAO_ISLAYDER,kata3_compactador_sensor,IA,3,510,9,0,9,100.0
SIM-S02-I26,observed_simulated,#26,SIMULACAO_ISLAYDER,kata4_manutencao_preditiva,Manual,1,450,2,5,7,28.57
SIM-S02-I26,observed_simulated,#26,SIMULACAO_ISLAYDER,kata4_manutencao_preditiva,Manual,2,900,4,3,7,57.14
SIM-S02-I26,observed_simulated,#26,SIMULACAO_ISLAYDER,kata4_manutencao_preditiva,Manual,3,1500,6,1,7,85.71
SIM-S02-I26,observed_simulated,#26,SIMULACAO_ISLAYDER,kata4_manutencao_preditiva,Manual,4,2100,6,1,7,85.71
